Datetime,Latitude,Longitude,Location,TimeZone,Temperature(°C),Dewpoint(°C),Apparent_Temperature(°C),Precipitation(mm),Rain(mm),Snowfall(cm),Cloudcover(%),Windspeed(km/h),Winddirection(°),Windgusts(km/h),Is_day,Shortwave_radiation(W/m²),Direct_radiation(W/m²),Direct_radiation_instant(W/m²),Created_Datetime
2023-10-18 00:00:00,42.75,21.125,Prishtina,Europe/Berlin,7.4,5.4,5.4,0.0,0.0,0.0,100,5.7,18,13.3,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 01:00:00,42.75,21.125,Prishtina,Europe/Berlin,7.3,5.2,5.3,0.0,0.0,0.0,100,5.2,16,11.5,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 02:00:00,42.75,21.125,Prishtina,Europe/Berlin,6.9,5.5,5.2,0.0,0.0,0.0,100,4.5,14,10.1,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 03:00:00,42.75,21.125,Prishtina,Europe/Berlin,6.3,5.3,4.6,0.0,0.0,0.0,100,3.7,11,8.3,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 04:00:00,42.75,21.125,Prishtina,Europe/Berlin,5.8,5.0,4.1,0.0,0.0,0.0,95,3.3,13,7.2,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 05:00:00,42.75,21.125,Prishtina,Europe/Berlin,5.0,4.6,3.3,0.0,0.0,0.0,96,2.7,23,6.5,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 06:00:00,42.75,21.125,Prishtina,Europe/Berlin,4.2,4.1,2.4,0.0,0.0,0.0,92,3.0,14,5.4,0,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 07:00:00,42.75,21.125,Prishtina,Europe/Berlin,3.4,3.4,1.4,0.0,0.0,0.0,88,3.1,21,6.8,1,0.0,0.0,0.0,2023-10-28 18:19:14.500106
2023-10-18 08:00:00,42.75,21.125,Prishtina,Europe/Berlin,4.1,4.0,2.3,0.0,0.0,0.0,72,2.8,50,7.9,1,56.0,14.0,26.2,2023-10-28 18:19:14.500106
2023-10-18 09:00:00,42.75,21.125,Prishtina,Europe/Berlin,7.1,5.7,5.9,0.0,0.0,0.0,45,1.3,34,5.8,1,204.0,100.0,128.4,2023-10-28 18:19:14.500106
